Rank;Autores;Ano;Palavras-chave;TÃ­tulo;Revista;NÃºmero de CitaÃ§Ãµes;DOI;Abstract
88;"Taiara Souza Costa; Robson Argolo dos Santos; RosÃ¢ngela Leal Santos; Roberto Filgueiras; Fernando FranÃ§a da Cunha; Anderson de Jesus Pereira; Rodrigo Amaro de Salles";2021;;Spatio-temporal variability of biophysical parameters of irrigated maize using orbital remote sensing;Semina: CiÃªncias AgrÃ¡rias;2;10.5433/1679-0359.2021v42n4p2181;This study proposes to estimate the actual crop evapotranspiration, using the SAFER model, as well as calculate the crop coefficient (Kc) as a function of the normalized difference vegetation index (NDVI) and determine the biomass of an irrigated maize crop using images from the Operational Land Imager (OLI) and Thermal Infrared (TIRS) sensors of the Landsat-8 satellite. Pivots 21 to 26 of a commercial farm located in the municipalities of Bom Jesus da Lapa and Serra do Ramalho, west of Bahia State, Brazil, were selected. Sowing dates for each pivot were arranged as North and South or East and West, with cultivation starting firstly in one of the orientations and subsequently in the other. The relationship between NDVI and the Kc values obtained in the FAO-56 report (KcFAO) revealed a high coefficient of determination (R2 = 0.7921), showing that the variance of KcFAO can be explained by NDVI in the maize crop. Considering the center pivots with different planting dates, the crop evapotranspiration (ETc) pixel values ranged from 0.0 to 6.0 mm d-1 during the phenological cycle. The highest values were found at 199 days of the year (DOY), corresponding to around 100 days after sowing (DAS). The lowest BIO values occur at 135 DOY, at around 20 DAS. There is a relationship between ETc and BIO, where the DOY with the highest BIO are equivalent to the days with the highest ETc values. In addition to this relationship, BIO is strongly influenced by soil water availability.
89;"Nqobile Motsomane; Rob Slotow; Anathi Magadlela";2025;;Soil nutrient concentrations influence micronutrient concentrations in Eragrostis curvula seeds.;PloS one;2;10.1371/journal.pone.0322214;Food insecurity often results in malnutrition, manifesting as micronutrient deficiencies that disproportionately affect children under five, impairing their cognitive and physical development. While staple crops supply necessary calories and basic nutrients required for life sustenance, they frequently lack essential micronutrients needed for overall health, necessitating alternative food sources to address food insecurity and malnutrition. This study investigated the potential of Eragrostis curvula seeds as a micronutrient-rich addition to existing food systems and used analyses of covariance to evaluate the influence of soil characteristics on seed nutrient concentrations between two grassland sites in South Africa's Gauteng province: Jameson Park and Kaydale. Populations of E. curvula were identified in Jameson Park and Kaydale, Heidelberg, where rhizosphere soils from selected plants and seeds were harvested for nutrient concentration and soil characteristics analysis. Eragrostis curvula seeds were rich in essential micronutrients, including phosphorus (5041.5-5921.7â€‰mg/kg), iron (72.2-145.4â€‰mg/kg), potassium (4490.5-5531.2â€‰mg/kg), zinc (44.9-65.4â€‰mg/kg), copper (8.6-10.2â€‰mg/kg), calcium (2978.4-16339.1â€‰mg/kg), magnesium (2265.7-2538.4â€‰mg/kg), and manganese (130.2-141.8â€‰mg/kg). Significant site-specific variations were observed: seeds from Jameson Park had higher potassium and calcium concentrations, while Kaydale seeds had higher zinc and iron concentrations. Soil analyses revealed no significant differences in phosphorus, nitrogen, zinc, copper, exchange acidity, or total cation concentrations between the sites. However, calcium levels were significantly higher in Jameson Park soils, while Kaydale soils showed higher potassium, magnesium, and manganese concentrations. Soil nutrient concentrations were found to have a significant influence on seed nutrients. These findings emphasise the potential of E. curvula seeds to improve food security and alleviate micronutrient deficiencies, particularly among vulnerable populations such as young children.
90;"Lia Duarte; Jesús García Sánchez; João Fonte; Ana Cláudia Teodoro";2021;"Computer science; Remote sensing; Identification (biology); Multispectral image; Vegetation (pathology)";A GIS open-source application to enhance the identification of archaeological crop marks using remote sensing data;EARTH RESOURCES AND ENVIRONMENTAL REMOTE SENSING/GIS APPLICATIONS XII;2;10.1117/12.2599743;"The use of vegetation indices to highlight archaeological features from remote sensing (RS) sensors is increasingly in demand, especially due to the possibility of obtaining high-resolution multispectral images with drones. The objective of this work is divided in two steps: i) to test techniques for the semi-automatic identification of crop marks in a study zone, in Salvada, Portugal, and; ii) to develop a Geographical Information Systems (GIS) open-source application, named ArchMarks, under QGIS software, to enhance the identification of archaeological crop marks using RS data/techniques, integrating the automatic creation of indices and the identification techniques tested before. ArchMarks aims to compute several vegetation and soil indices from multispectral imagery considering four bands (Red, Green and Blue and Near InfraRed (NIR)) for enhancing the identification of archaeological crop marks. In order to define the best approach to implement in the plugin, some tests were performed with two algorithms available in QGIS: ContrastEnhancement and WatershedSegmentation. High-resolution aerial imagery (25-50 cm spatial resolution) was obtained from Web Map Service (WMS) services in addition to Sentinel-2 satellite image, whose spatial resolution is of 10 meters in the Red Green Blue-Near InfraRed bands. The application is free and can be adapted to other region of interest. In the future, the plugin will be improved with a methodology to download remote sensing data (aerial images and satellite data) from WMS sources, band stacking, and machine learning algorithms, such as Support Vector Machine (SVM) algorithm, to automatically classify archaeological traces on the vegetation or bare soil."
91;"Iñigo Barberena; Miguel Ángel Campo?Bescós; Javier Casalí";2024;"Plug-in; Nonpoint source pollution; Agriculture; Environmental science; Computer science";Introducing QAnnAGNPS - A QGIS plugin to facilitate the use of AnnAGNPS (Annualized Agricultural Nonpoint source model);ENVIRONMENTAL MODELLING & SOFTWARE;2;10.1016/j.envsoft.2024.105968;AnnAGNPS is a watershed-scale hydrological model designed to analyze the impact of nonpoint source pollution in agricultural environments. Its unique capabilities have defined it as an essential model that is used globally to evaluate agricultural management scenarios. However, it does not currently have a user-friendly graphical interface that provides a simple way for users to perform simulations. This article presents QAnnAGNPS, a plugin developed in QGIS to facilitate access to the simulation capabilities of AnnAGNPS through a user-friendly interface and the addition of extra features, including data visualization. QAnnAGNPS, in addition to fulfilling this valuable task, opens the door to the incorporation of additional functions already included in other similar hydrological models. The plugin has been tested in the Latxaga cereal basin in Navarra, Spain, and has demonstrated that it provides a simpler way to perform simulations and visualize results compared to AnnAGNPS.
92;"Laura Cristina Moura Xavier; George Deroco Martins; Guilherme Pereira de Oliveira; Murillo GuimarÃ£es Carneiro";2025;;GEOTrat Points as a free resource in QGIS for mapping the performance of agricultural experiments.;PloS one;1;10.1371/journal.pone.0332751;Agricultural experimentation requires careful selection of the experimental design and model for analyzing treatment data. However, even with rigorous experimental control, the discrepancies between treatments are so subtle that traditional statistical models fail to highlight statistically significant differences that occur in field practice. The incorporation of geotechnologies offers the ability to map agricultural variability, but a gap still exists in the availability of tools designed to map and evaluate the effectiveness of agricultural experiments. To overcome this limitation and promote the wider application of Geographic Information Systems in agriculture, the scope of this study focuses on the development of a resource in QGIS software, aimed at evaluating agricultural experiments using a randomized block design with up to five treatments. The resource developed incorporates spatial interpolation techniques using geostatistical kriging, map generation, and statistics. The study used yield samples from six different crops to identify quantitative and spatial differences between two-treatment experiments in terms of yield gain. The performance evaluation included statistical measures such as Root Mean Square Error (RMSE) and Pearson's correlation coefficient to validate the accuracy of interpolated surfaces. The results consisted of two surfaces representing the study area treated with each of the treatments, as well as a surface reflecting the yield gain of the reference treatment in relation to the control treatment, accompanied by relevant descriptive statistics measures on this gain surface. The experiments showed that RMSE varied between 4.6% and 69.71%, depending on the crop and treatment, while Pearson's correlation ranged from -0.16 to 0.86, indicating varying degrees of agreement between interpolated and observed data. The tool successfully generated yield gain maps, allowing spatial visualization of treatment differences, with an accuracy of up to 95.40% in detecting spatial and numerical variations between treatments. The tool, called GEOTrat - Points, offers the flexibility to evaluate agricultural experiments of various designs, encompassing different crops and different quantities of samples, providing both numerical and spatial analysis.
93;"Saravanakumar R; Rajni Jain; Vaibhav Kumar Singh; Anshu Bharadwaj; Vinay Kumar Sehgal; Ankur Biswas; Alka Arora; Hari Krishna";2026;;Hybridizing deep learning algorithms and geostatistical approaches for improved crop yield disaggregation.;PloS one;1;10.1371/journal.pone.0344081;Reliable crop yield estimates at fine spatial resolution are essential for precision agriculture, food security planning, and insurance schemes. However, yield statistics are reported at coarser administrative levels, limiting their applicability for field-scale analysis. This study proposes a multi-stage hybridized framework that integrates deep learning (DL) models with geostatistical residual kriging to disaggregate village-level crop yield statistics to the pixel level. The proposed methodology is demonstrated using wheat and mustard crops as case study in the semi-arid districts, Haryana, India. The study identifies suitable data combination by evaluating multiple combinations of soil, weather, Sentinel-1, and Sentinel-2 bands data for yield disaggregation. Results show that datasets combining spectral and weather information consistently outperform other data combinations. Validation results showed that the strongest numerical accuracy was observed for machine learning algorithms, e.g., random forest, with an R2 of 0.9949, but it lacks spatial realism. On the other hand, DL models had comparable numerical accuracy and also produced smoother and more realistic spatial transitions but exhibited spatially structured residuals. To mitigate these spatial biases, residual kriging was applied to DL outputs, resulting in RMSE reduction of 35-45% and generating smoother pixel-level maps that preserved fine-scale heterogeneity and aligned with reported village yields. Moran's I analysis confirmed significant residual spatial autocorrelation for DL models, justifying the use of geostatistical correction. Thus, the proposed hybridized framework emerged as best for balancing statistical accuracy with spatially realistic yield disaggregation. This study provides one of the first empirical demonstrations of village-to-pixel yield disaggregation using the identified weather and satellite band data combination.
94;"Getachew Kebede; Bester Tawona Mudereri; Onisimo Mutanga; Tobias Landmann; John Odindi; Natacha Motisi; Fabrice Pinard; Henri E Z Tonnang; Elfatih M Abdel-Rahman";2026;;Mapping Robusta coffee (Coffea canephora) cropping systems in Uganda: A two-step pixel and sub-pixel based approach with Sentinel-2 data.;PloS one;1;10.1371/journal.pone.0338803;Coffee is a highly valued commodity and a widely consumed beverage, playing an important role in global trade. However, coffee farming landscapes are increasing transitioning into smaller-scale agricultural setups. This transformation highlights the critical need for accurate classification and mapping of coffee cropping systems (CS), especially in countries like Uganda, where dense vegetation and complex terrain present substantial challenges to traditional land survey methods. Moreover, understanding the spatial distribution of Robusta coffee (Coffea canephora) CS is essential for developing site-specific management strategies, guiding extension services, and informing evidence-based policy decisions. To address this gap, the present study aimed to enhance the discrimination and mapping capabilities of Robusta coffee CS at a sub-pixel scale using a two-step classification approach and multi-date Sentinel-2 (S2) data. In the first step, the random forest (RF) classification algorithm was used to map the major land use and land cover (LULC) classes in Google Earth Engine platform. Then, the Robusta coffee cropland class was masked, and a sub-pixel multiple endmember spectral mixture analysis (MESMA) was employed to discriminate Robusta coffee CS using three endmembers (EMs) obtained from in-situ hyperspectral data collected in 2023 from: (i) Robusta coffee with agroforestry, (ii) Robusta coffee with banana, and (iii) Robusta coffee under full sun. The result showed 93.5% overall accuracy for the major LULC and 89.9% for all Robusta coffee CS classes, disentangled as follows: 91.3% accuracy for Robusta coffee with agroforestry, 88.5% for Robusta coffee with banana, and 91.2% for Robusta coffee under full sun. Moreover, the MESMA sub-pixel algorithm demonstrates credible performance in discriminating the Robusta coffee CS within each S2 pixel at the heterogeneous landscape in the study area. The findings of this study can inform site-specific interventions (e.g., pest management, fertilizer application, etc.) tailored to the type of CS.
95;#NOME?;2023;"Sentinel 2; Landsat 8; crop coefficient; evapotranspiration; remote sensing";Estimation of Single Crop Coefficient and Crop Evapotranspiration Using Remote Sensing for Irrigation Management;International Journal on Advanced Science, Engineering and Information Technology;1;10.18517/ijaseit.13.2.15531;Indonesia has rainy and dry seasons sequentially from April to October and October to March. In the dry season, water availability in the soil gradually decreases, especially from June to October, when the peak of drought occurs, causing many agricultural lands to be left uncultivated. However, a small portion of agricultural land can still be planted for crops such as maize and groundnut. However, limited water availability causes crop growth to be disrupted because the amount of water absorbed by crop roots is less than the amount of evapotranspiration water. Therefore, an accurate evapotranspiration estimation technique is needed to make the water supply efficient. This study aims to evaluate the reliability of the technique of estimating crop coefficient (Kc) of maize and groundnut and temperature at the research location. A linear relationship between the Normalized Difference Vegetation Index (NDVI) from sentinel two imagery and Kc-FAO was used to estimate Kc. Meanwhile, a linear relationship between LST from Landsat 8 imagery and the results of interpolating temperature data from 4 climatological stations were used to estimate the temperature at the research site. The results of estimation showed that Kc of maize and groundnut were very accurate with the determinant coefficients (R2) respectively 0.8791 and 0.9352. This is similar to the results of the temperature estimation of the research location, showing a very accurate R2 is 0.9073. The results of this study are expected to be used for future research to improve water crop management.
96;"Laila Lucia Sousa e Silva; Gabriel Siqueira Tavares Fernandes; Edivania de Araujo Lima; Jessica Rafaelly Almeida Lopes; ArÃ£o de Moura Neto; Raiany de Oliveira Silva";2024;;Potential impacts of climate change on food crops in the state of PiauÃ­, Brazil;Revista Ceres;1;10.1590/0034-737x2024710042;ABSTRACT Climate change has made food security vulnerable. Therefore, it is important to have discussions on the subject and take actions that minimize the environmental impacts on family farming, that will be directly or indirectly affected by climatic events. With this in mind, this study aimed to identify climate changes in the state of PiauÃ­ based on climate projections and to verify their possible impacts on the suitability of growing food crops, such as beans, corn, cassava, and cashew. The climate scenarios analyzed were 2011â€“2040, 2041â€“2070, and 2071â€“2100. The observed data on current climate came from the National Institute of Meteorology (INMET), and future climate projections came from the Brazilian Portal of Climate Projections of the National Institute for Space Research (INPE). Based on the climatic data obtained (current and future), the climatological water balance was calculated, using the method proposed by Thorntwaite, with consecutive characterization of the suitability for crops. All maps were generated in QGIS. According to the results, crops that may suffer from water deficit are beans and cashews. The latter, in the RCP 8.5 scenario (2071â€“2100) shows unsuitability for cultivation throughout the state. The population with the highest rate of social vulnerability is the one that will be most damaged by the events caused by climate change.
97;"Airton Andrade da Silva; Francisco Charles Dos Santos Silva; Claudinei Martins GuimarÃ£es; Ibrahim A Saleh; JosÃ© Francisco da Crus Neto; Mohamed A El-Tayeb; Mostafa A Abdel-Maksoud; Jorge GonzÃ¡lez Aguilera; Hamada AbdElgawad; Alan Mario Zuffo";2024;;Spectral indices with different spatial resolutions in recognizing soybean phenology.;PloS one;1;10.1371/journal.pone.0305610;"The aim of the present research was to evaluate the efficiency of different vegetation indices (VI) obtained from satellites with varying spatial resolutions in discriminating the phenological stages of soybean crops. The experiment was carried out in a soybean cultivation area irrigated by central pivot, in Balsas, MA, Brazil, where weekly assessments of phenology and leaf area index were carried out. Throughout the crop cycle, spectral data from the study area were collected from sensors, onboard the Sentinel-2 and AmazÃ´nia-1 satellites. The images obtained were processed to obtain the VI based on NIR (NDVI, NDWI and SAVI) and RGB (VARI, IV GREEN and GLI), for the different phenological stages of the crop. The efficiency in identifying phenological stages by VI was determined through discriminant analysis and the Algorithm Neural Network-ANN, where the best classifications presented an Apparent Error Rate (APER) equal to zero. The APER for the discriminant analysis varied between 53.4% and 70.4% while, for the ANN, it was between 47.4% and 73.9%, making it not possible to identify which of the two analysis techniques is more appropriate. The study results demonstrated that the difference in sensors spatial resolution is not a determining factor in the correct identification of soybean phenological stages. Although no VI, obtained from the AmazÃ´nia-1 and Sentinel-2 sensor systems, was 100% effective in identifying all phenological stages, specific indices can be used to identify some key phenological stages of soybean crops, such as: flowering (R1 and R2); pod development (R4); grain development (R5.1); and plant physiological maturity (R8). Therefore, VI obtained from orbital sensors are effective in identifying soybean phenological stages quickly and cheaply."
98;"Mohamed A Abd El-Aziz; Faizah Amer Altihani; Islam M Khater; Sara A El-Shabasy; Emad M Hafez; Wenlong Xu; Youzhi Feng; Alaa El-Dein Omara; Tamer H Khalifa";2026;"Leaching; Microbial activity; PGPR inoculation; Rice; Saline soils; Soil health; Soil restoration; Sustainable approach; Wheat; Zeolite";Impact of integrating zeolite and PGPR on restoring soil health and enhancing crop yields following the leaching process.;PeerJ;1;10.7717/peerj.20810;"Soil leaching is a traditional approach for reclaiming saline soil; however, it often leads to nutrient loss that further weakens soil health. Therefore, this study examines the use of zeolite in combination with plant growth-promoting rhizobacteria (PGPR) as a sustainable approach to restore soil health and enhance rice and wheat yields following soil leaching. The study farm affected by salinity and sodicity is located near Kafr Basat, Dakahlia Governorate, Egypt, during the period from 2023 to 2024. A 10-week sequential leaching process (L1-L5) reduced electrical conductivity (EC) by approximately 45% and exchangeable sodium percentage (ESP) by 42% across the soil profile. However, leaching resulted in declines in soil nutrient contents and microbial activity. Four treatments: control, zeolite (Z), PGPR, and combined zeolite + PGPR (Z+PGPR), were applied using a randomized block design with three replicates. The Z+PGPR treatment significantly improved soil chemical and biological properties, including increases in cation exchange capacity (CEC) (up to 37.21 cmol kg<sup>-1</sup>), nitrogen, phosphorus, and potassium availability, as well as microbial biomass carbon (MBC), which increased from 4.04 to 4.37 mg/g soil. CO<sub>2</sub> respiration increased by 62.3%, indicating enhanced microbial activity. Additionally, EC and ESP were further reduced, and infiltration rate improved to 1.09 cm h<sup>-1</sup> under the Z+PGPR treatment. Correspondingly, rice and wheat yields increased to 11.78Â t/ha and 7.44 t/ha, respectively. These results suggest that the combined application of zeolite with PGPR can enhance soil health and crop productivity following soil leaching. Nevertheless, long-term studies, multiple sites and economic assessments are needed to confirm the broader applicability and sustainability of this approach."
99;"Mauro De Donatis; Mauro Alberti; Carlo Cesarini; Marco Menichetti; Sara Susini";2016;;Open source GIS for geological field mapping: research and teaching experience.;PeerJ;1;N/D;The journey to digital field mapping in the geosciences academic world is far from ending. When it started some years ago, many geoscientists were skeptical about the use of digital tools in the field. Nowadays, the work done in this decade shows clearly that this will be the way of working in the future. The traditional way of mapping can be incorporated and improved in the digital survey. Many of the previously existing limitations have been overcome. Part of this process is possible thanks to the choice of open source tools.
100;"Sebastian Banaszek; M. Szota";2025;"Computer science; Orthophoto; RGB color model; Vegetation (pathology); Workflow";A Semi-Automated RGB-Based Method for Wildlife Crop Damage Detection Using QGIS-Integrated UAV Workflow;SENSORS;1;10.3390/s25154734;"Monitoring crop damage caused by wildlife remains a significant challenge in agricultural management, particularly in the case of large-scale monocultures such as maize. The given study presents a semi-automated process for detecting wildlife-induced damage using RGB imagery acquired from unmanned aerial vehicles (UAVs). The method is designed for non-specialist users and is fully integrated within the QGIS platform. The proposed approach involves calculating three vegetation indices-Excess Green (ExG), Green Leaf Index (GLI), and Modified Green-Red Vegetation Index (MGRVI)-based on a standardized orthomosaic generated from RGB images collected via UAV. Subsequently, an unsupervised k-means clustering algorithm was applied to divide the field into five vegetation vigor classes. Within each class, 25% of the pixels with the lowest average index values were preliminarily classified as damaged. A dedicated QGIS plugin enables drone data analysts (Drone Data Analysts-DDAs) to adjust index thresholds, based on visual interpretation, interactively. The method was validated on a 50-hectare maize field, where 7 hectares of damage (15% of the area) were identified. The results indicate a high level of agreement between the automated and manual classifications, with an overall accuracy of 81%. The highest concentration of damage occurred in the ""moderate"" and ""low"" vigor zones. Final products included vigor classification maps, binary damage masks, and summary reports in HTML and DOCX formats with visualizations and statistical data. The results confirm the effectiveness and scalability of the proposed RGB-based procedure for crop damage assessment. The method offers a repeatable, cost-effective, and field-operable alternative to multispectral or AI-based approaches, making it suitable for integration with precision agriculture practices and wildlife population management."
101;Yerkin Kakimzhanov;2011;"Agriculture; Computer science; Geography; Archaeology";APPLICATION OF GIS TECHNOLOGY AT DESIGNING ADAPTIVE-LANDSCAPE SYSTEMS OF AGRICULTURE (FOR EXAMPLE, ALMATY REGION KARASAI DISTRICT);INFORMATICS, GEOINFORMATICS AND REMOTE SENSING, VOL II (SGEM 2015);1;10.5593/sgem2015/b22/s11.087;This paper presents a method based on geographic information system (GIS) at designing adaptive-landscape system of agriculture (ALSA) in a large-scale mapping of agricultural landscapes. Adaptive-landscape system of agriculture created using terrain model (which integrate human activities). The main results of maps that allow the analysis and understanding of the impact of human activity on the landscape. In the articlewe are considering principles of compiling Facies maps and maps of Stows in the adaptive landscape system of agriculture (ALSA) Almaty region Karasai using GIS technology. At present, the pressing question of a fundamental change in the process of agronomic solutions through the introduction of environmentally sustainable farming systems with extensive use of the capabilities of modern methods and technologies, including geographical information systems and computer technologies. The system is held in Kazakhstan as a territorial analysis of the classification categories of landscapes and large-scale charting of areas of elementary landscapes using GIS technology for design of adaptive-landscape system of agriculture. In this case study, practical application of GIS technology is considered relevant.
102;"Uma Shankar Panday; Jeshan Pokharel; Arun Kumar Pratihast; Shahnawaz Shahnawaz; Jagannath Aryal; Rijan Bhakta Kayastha";2025;"Volunteered geographic information; Georeference; Remote sensing; Random forest; Satellite imagery";Delineation of summer crop areas using Sentinel-2 imagery derived indices and georeferenced data collected through a Volunteered Geographic Information approach;INTERNATIONAL JOURNAL OF IMAGE AND DATA FUSION;1;10.1080/19479832.2025.2599331;Accurate delineation of cropped areas is crucial for efficient agriculture, food security, and policy development. Numerous global crop-mapping initiatives provide valuable insights into cropping activities worldwide. However, the spatiotemporal resolutions of these maps constrain their usefulness at the local level. Furthermore, map accuracy relies heavily on reference data, which are often prone to inconsistency and inaccuracies due to various data collection procedures. Publicly available satellite imagery, Volunteered Geographic Information (VGI)-based reference data collection, and machine learning (ML) approaches enable crop classification at the sub-national scale. However, their integration approaches are lacking. This study examined the potential of VGI reference data and Spectral Indices (SIs) derived from Sentinel-2 imagery to delineate summer crop areas using a Random Forest classifier. The classifier utilised 800 reference data samples collected by farmers and volunteers using the Open Data Kit (ODK) on mobile devices. Classification accuracy of 89% and f1-scores of 89%, 88%, 80%, 96%, and 89%, respectively, for Built-up Area/Bare Land, Paddy, Sugarcane, Tree Cover, and Water Body were obtained. The proposed method demonstrates promising results in smallholder farm settings and is replicable and cost-effective for sub-national level mapping in low-income countries.
103;E. Erik, M. Durmaz, and A. Ö. Ok;2023;Crop Yield Prediction, QGIS Plugin, Google Earth Engine, Histogram, Deep Learning;IN AND END OF SEASON SOYBEAN YIELD PREDICTION WITH HISTOGRAM BASED DEEP LEARNING;39TH INTERNATIONAL SYMPOSIUM ON REMOTE SENSING OF ENVIRONMENT ISRSE-39 FROM HUMAN NEEDS TO SDGS, VOL. 48-M-1;1;10.5194/isprs-archives-XLVIII-M-1-2023-95-2023;One sector that feels the effects of global warming and climate change on all levels is agriculture. In order to prepare for possible yield loss, as well as market, storage, and import planning challenges brought on by climate change, businesses can utilise agricultural decision support applications. Within the scope of this study, a crop yield prediction module has been developed that can provide in and end of season estimation of crop yields to be obtained from the determined regions. The Python programming language was used in the creation of the module as a QGIS plugin. The area for which crop yield predictions are to be made is covered by retrieving MODIS SR, MODIS LST, and Daymet data from the Google Earth Engine data catalogue. Histograms obtained from remotely sensed images are used as input data to two deep learning methods (CNN-LSTM and HistCNN). As a result, the HistCNN model outperformed CNN-LSTM for in season soybean yield prediction, with an R2 of 0.72, while the CNN-LSTM model outperformed it for in end of season soybean yield prediction, with an R2 of 0.67.
104;"Derlei D. Melo; Isabella A. Cunha; Lucas Rios do Amaral";2025;"Precision agriculture; Computer science; Plug-in; Data mining; Cluster analysis";Precision Zones: An Open-Source QGIS Plugin for Management-Zone Segmentation in Precision Agriculture;AGRIENGINEERING;1;10.3390/agriengineering7120420;"Segmenting agricultural fields into management zones (MZ) is a core principle of precision agriculture (PA). However, the widespread adoption of PA remains limited, partly due to operational barriers in MZ segmentation. These barriers often involve the necessity for advanced programming skills and a strong statistical background, in addition to the lack of a free, integrated and straightforward tool that executes the entire workflow. Addressing this gap required the development of the open-source QGIS plugin Precision Zones. The plugin reproducibly implements the entire MZ segmentation pipeline: (i) raster layers preprocessing; (ii) dimensionality reduction via Principal Component Analysis (PCA); (iii) multivariate clustering using K-Means ++, with integrated support for determining the optimal number of zones through the Elbow and Silhouette methods; (iv) spatial filtering of MZ to mitigate noise; and (v) assessment of MZ agronomic effectiveness using statistical metrics (i.e., within-zone variance reduction). This tool enables practical MZ segmentation for a wide range of agricultural applications, eliminating the need for programming knowledge. Despite its robust architecture, as a novel tool, it has not yet been formally characterized and presented to the scientific community. Therefore, this study describes the Precision Zones plugin, address the step-by-step user decisions and presents its validation. In a reproducible case study, the plugin produced agronomically coherent MZ and reduced within-zone variability (VR%) for most soil attributes analyzed. The study concludes that Precision Zones provides a reproducible, user-friendly workflow that bridges the gap between advanced spatial analysis and practical precision agriculture applications for growers, consultants and researchers."
105;"Aayush Shukla; Deep Mehta; Abhijeet Rajiv Choksi; Hem Bharat Shah; Vatsa Manoj Joshi";2015;"Cluster analysis; Computer science; Data mining; Data set; Set (abstract data type)";Survey of zone tessellation techniques for defined parameters in precision agriculture;2015 INTERNATIONAL CONFERENCE ON INNOVATIONS IN INFORMATION, EMBEDDED AND COMMUNICATION SYSTEMS (ICIIECS);1;10.1109/iciiecs.2015.7193186;Precision agriculture is a trending topic since the last few years. Use of technology and advances in science helps in getting a better yield of crops in a given agricultural area. Novel ground based sensors along with aerial and satellite imagery provide large geo-referenced data sets with high spatial resolution. Management zone delineation is a key task of precision agriculture. From a data-mining point of view this comes down to variant of spatial clustering which has a constraint of keeping the resulting clusters spatially mostly contiguous. Existing spatial clustering algorithms are used to delineate into so-called management zones. However none of the standard clustering algorithms would allow tackling the task on given data set. We discuss a few algorithms for a given data set which returns mostly contiguous tessellation and which can be parameterized easily by human expert. Various attributes obtained by applying different algorithms will be compared. Results on available multi-variate data sets and subsets will be presented. We conclude which is the best algorithm for the given data set.
106;"Beatriz E. Bizzuti; Parker J. Williams; Marta M. Kohmann; Francisco J. Arriaga; Jessica L. Drewry; Dennis Hancock; Brian D. Luck";2026;;Characterization and impact of agricultural machinery traffic on alfalfa forage harvested;Precision Agriculture;0;10.1007/s11119-026-10355-4;"Purpose: Harvest-related agricultural machinery traffic (AMT) can limit alfalfa production and persistence. This study aims to quantify the area affected by harvest AMT and assess its impact on alfalfa forage harvested (FH; i.e., total biomass harvested per area) under different soil preparation systems. Methods: Three experiments were conducted in Wisconsin, USA. In Experiment 1, GPS receivers were installed on all machines used in alfalfa silage harvest on a 650-ha commercial farm. Data were processed in QGIS to calculate the trafficked area, and a controlled traffic operation was simulated. In Experiments 2 (no-till) and 3 (moderate tillage), a 3-year field trial measuring FH was conducted using a randomized complete block design with three replicates. Traffic treatments included: No Traffic; 3- or 5-pass SILAGE (26 h post-harvest); and 3- or 5-pass HAY (72 h post-harvest). Results: GPS tracking showed that 46 Â± 3.4% of the field area was traversed by AMT during a season, which decreased to 35 Â± 0.6% under simulated controlled traffic. Under no-till, AMT had minimal impact on annual FH, although HAY traffic reduced FH by 7% compared to SILAGE in Year 3. Under moderate tillage, traffic decreased FH by 14% in the establishment year (Year 1), with HAY operations decreasing FH by 24% compared to SILAGE. Across Experiments 2 and 3, increasing the interval between harvest and AMT had a more negative effect on FH than the number of passes, whose effects were less consistent. Conclusion: Implementing controlled traffic and limiting traffic, particularly at longer intervals after harvest, may limit AMT impacts to alfalfa FH. Machinery traversed nearly half of the alfalfa field annually during silage production. Approximately 11% of the alfalfa fields may be covered by road tires annually. Controlled traffic minimizes spatial dispersion of machinery across the field. Agricultural machinery traffic can decrease alfalfa forage harvested by up to 24%. Longer intervals between alfalfa harvest and subsequent machinery traffic are more detrimental to forage harvested. This study combines GPS-based spatial analysis and field experiments to measure and understand the impact of harvest-related machinery traffic on alfalfa production. It aligns with Precision Agriculture by addressing within-field variability using geospatial technology and site-specific management methods, thereby improving system efficiency."
