Rank;Autores;Ano;Título;Palavras-chave;Revista;Número de Citações;DOI;Abstract
44;"Katrin Janik; Bernd Panassiti; Christine Kerschbamer; Johannes Burmeister; Valeria Trivellone";2023;Phylogenetic Triage and Risk Assessment: How to Predict Emerging Phytoplasma Diseases.;"Bavaria; DAMA protocol; archives; aster yellow; bio-inventories; geographic distribution; metabarcoding; phytopathogens; risk evaluation; risk heat map";Biology;6;10.3390/biology12050732;Phytoplasma diseases pose a substantial threat to diverse crops of agricultural importance. Management measures are usually implemented only after the disease has already occurred. Early detection of such phytopathogens, prior to disease outbreak, has rarely been attempted, but would be highly beneficial for phytosanitary risk assessment, disease prevention and mitigation. In this study, we present the implementation of a recently proposed proactive disease management protocol (DAMA: Document, Assess, Monitor, Act) for a group of vector-borne phytopathogens. We used insect samples collected during a recent biomonitoring program in southern Germany to screen for the presence of phytoplasmas. Insects were collected with malaise traps in different agricultural settings. DNA was extracted from these mass trap samples and subjected to PCR-based phytoplasma detection and mitochondrial cytochrome c oxidase subunit I (COI) metabarcoding. Phytoplasma DNA was detected in two out of the 152 insect samples analyzed. Phytoplasma identification was performed using iPhyClassifier based on 16S rRNA gene sequence and the detected phytoplasmas were assigned to '<i>Candidatus</i> Phytoplasma asteris'-related strains. Insect species in the sample were identified by DNA metabarcoding. By using established databases, checklists, and archives, we documented historical associations and records of phytoplasmas and its hosts in the study region. For the assessment in the DAMA protocol, phylogenetic triage was performed in order to determine the risk for tri-trophic interactions (plant-insect-phytoplasma) and associated disease outbreaks in the study region. A phylogenetic heat map constitutes the basis for risk assessment and was used here to identify a minimum number of seven leafhopper species suggested to be monitored by stakeholders in this region. A proactive stance in monitoring changing patterns of association between hosts and pathogens can be a cornerstone in capabilities to prevent future phytoplasma disease outbreaks. To the best of our knowledge, this is the first time that the DAMA protocol has been applied in the field of phytopathology and vector-borne plant diseases.
45;"Mohamed A Abd El-Aziz; Faizah Amer Altihani; Islam M Khater; Sara A El-Shabasy; Emad M Hafez; Wenlong Xu; Youzhi Feng; Alaa El-Dein Omara; Tamer H Khalifa";2026;Impact of integrating zeolite and PGPR on restoring soil health and enhancing crop yields following the leaching process.;"Leaching; Microbial activity; PGPR inoculation; Rice; Saline soils; Soil health; Soil restoration; Sustainable approach; Wheat; Zeolite";PeerJ;1;10.7717/peerj.20810;"Soil leaching is a traditional approach for reclaiming saline soil; however, it often leads to nutrient loss that further weakens soil health. Therefore, this study examines the use of zeolite in combination with plant growth-promoting rhizobacteria (PGPR) as a sustainable approach to restore soil health and enhance rice and wheat yields following soil leaching. The study farm affected by salinity and sodicity is located near Kafr Basat, Dakahlia Governorate, Egypt, during the period from 2023 to 2024. A 10-week sequential leaching process (L1-L5) reduced electrical conductivity (EC) by approximately 45% and exchangeable sodium percentage (ESP) by 42% across the soil profile. However, leaching resulted in declines in soil nutrient contents and microbial activity. Four treatments: control, zeolite (Z), PGPR, and combined zeolite + PGPR (Z+PGPR), were applied using a randomized block design with three replicates. The Z+PGPR treatment significantly improved soil chemical and biological properties, including increases in cation exchange capacity (CEC) (up to 37.21 cmol kg<sup>-1</sup>), nitrogen, phosphorus, and potassium availability, as well as microbial biomass carbon (MBC), which increased from 4.04 to 4.37 mg/g soil. CO<sub>2</sub> respiration increased by 62.3%, indicating enhanced microbial activity. Additionally, EC and ESP were further reduced, and infiltration rate improved to 1.09 cm h<sup>-1</sup> under the Z+PGPR treatment. Correspondingly, rice and wheat yields increased to 11.78 t/ha and 7.44 t/ha, respectively. These results suggest that the combined application of zeolite with PGPR can enhance soil health and crop productivity following soil leaching. Nevertheless, long-term studies, multiple sites and economic assessments are needed to confirm the broader applicability and sustainability of this approach."
46;"Yohannes Ayanu; Christopher Conrad; Anke Jentsch; Thomas Koellner";2015;Unveiling Undercover Cropland Inside Forests Using Landscape Variables: A Supplement to Remote Sensing Image Classification.;N/D;PloS one;3;10.1371/journal.pone.0130079;The worldwide demand for food has been increasing due to the rapidly growing global population, and agricultural lands have increased in extent to produce more food crops. The pattern of cropland varies among different regions depending on the traditional knowledge of farmers and availability of uncultivated land. Satellite images can be used to map cropland in open areas but have limitations for detecting undergrowth inside forests. Classification results are often biased and need to be supplemented with field observations. Undercover cropland inside forests in the Bale Mountains of Ethiopia was assessed using field observed percentage cover of land use/land cover classes, and topographic and location parameters. The most influential factors were identified using Boosted Regression Trees and used to map undercover cropland area. Elevation, slope, easterly aspect, distance to settlements, and distance to national park were found to be the most influential factors determining undercover cropland area. When there is very high demand for growing food crops, constrained under restricted rights for clearing forest, cultivation could take place within forests as an undercover. Further research on the impact of undercover cropland on ecosystem services and challenges in sustainable management is thus essential.
47;"Simone Sterlacchini; Marco Zazzeri; Giacomo Cappellini; Michele Pastormerlo; Alessandro Bonazzi";2016;An Open source GIS-based tool for economic loss estimation due to flood events.;N/D;PeerJ;0;N/D;Two complementary GIS-based functions are designed and implemented to assess the expected degree of loss due to the occurrence of flood events. Each function processes institutional thematic layers and allows decision makers first to quantify the physical and the economic exposure of the elements at risk in a given study region and then to assess the expected degree of economic loss in relation to the flood water depth chosen for the analysis. The functions are implemented using QGIS with GRASS Python API extension and the workflow is exposed as a QGIS plug-in. The GUI is built over QT multi-platform framework and, therefore, the results are consistently integrated into the QGIS system.
48;"Nqobile Motsomane; Rob Slotow; Anathi Magadlela";2025;Soil nutrient concentrations influence micronutrient concentrations in Eragrostis curvula seeds.;N/D;PloS one;2;10.1371/journal.pone.0322214;Food insecurity often results in malnutrition, manifesting as micronutrient deficiencies that disproportionately affect children under five, impairing their cognitive and physical development. While staple crops supply necessary calories and basic nutrients required for life sustenance, they frequently lack essential micronutrients needed for overall health, necessitating alternative food sources to address food insecurity and malnutrition. This study investigated the potential of Eragrostis curvula seeds as a micronutrient-rich addition to existing food systems and used analyses of covariance to evaluate the influence of soil characteristics on seed nutrient concentrations between two grassland sites in South Africa's Gauteng province: Jameson Park and Kaydale. Populations of E. curvula were identified in Jameson Park and Kaydale, Heidelberg, where rhizosphere soils from selected plants and seeds were harvested for nutrient concentration and soil characteristics analysis. Eragrostis curvula seeds were rich in essential micronutrients, including phosphorus (5041.5-5921.7 mg/kg), iron (72.2-145.4 mg/kg), potassium (4490.5-5531.2 mg/kg), zinc (44.9-65.4 mg/kg), copper (8.6-10.2 mg/kg), calcium (2978.4-16339.1 mg/kg), magnesium (2265.7-2538.4 mg/kg), and manganese (130.2-141.8 mg/kg). Significant site-specific variations were observed: seeds from Jameson Park had higher potassium and calcium concentrations, while Kaydale seeds had higher zinc and iron concentrations. Soil analyses revealed no significant differences in phosphorus, nitrogen, zinc, copper, exchange acidity, or total cation concentrations between the sites. However, calcium levels were significantly higher in Jameson Park soils, while Kaydale soils showed higher potassium, magnesium, and manganese concentrations. Soil nutrient concentrations were found to have a significant influence on seed nutrients. These findings emphasise the potential of E. curvula seeds to improve food security and alleviate micronutrient deficiencies, particularly among vulnerable populations such as young children.
49;"Priscila Pereira Coltri; Caio Simplicio Arantes";2026;ClimaPlots: an open-source tool for meteorological series analysis and extreme indices;N/D;Bragantia;0;10.1590/1678-4499.20250223;<jats:p>ABSTRACT Climate data is essential for agriculture, supporting resilience, decision-making and food security under both current conditions and climate change scenarios. It is also essential for research, education, and applied sciences. However, its use is often limited by sparse monitoring networks, time series that are not continuous, platforms that handle immense volumes of data, and technical barriers that require programming and statistical expertise. These challenges are particularly pronounced in developing countries. To address these issues, we have developed ClimaPlots: an open-source QGIS plugin that simplifies the access to, and analysis of, temperature, precipitation, solar radiation, and relative humidity data from NASA’s POWER database. The tool enables users to extract data from any location, generate interactive visualisations, analyse trends and calculate climate extremes. While not a complete solution to all limitations in accessing data, ClimaPlots reduces technical and economic barriers, thus improving the usability of global climate data for agriculture, research, education, and planning in regions where data is scarce. ClimaPlots is freely available in the QGIS repository, promoting open and reproducible science by transforming large datasets into actionable knowledge.</jats:p>
50;"H.S. Cardoso; C.C.S. Silva; J.V. Dantas Filho; F.B. Hurtado";2022;Temporal analysis and evolution of fish farming in Alto Paraíso municipality, RO, Western Amazon, Brazil;N/D;Revista Brasileira de Ciências Agrárias - Brazilian Journal of Agricultural Sciences;0;10.5039/agraria.v17i4a2520;The aimed of the study was to identify the characteristics of fish farms and the progress of the enterprises that practice the activity during the time span of 13 years (2008 to 2021) in Alto Paraíso municipality (RO, Western Amazon), aiming to know the general aspects and verify the number of enterprises, spatialization in the municipality and size. The study was carried out using remote sensing tools, analyzing the occupation in the municipality with fish farming, through the processing of images from the SPOT-5 satellite (for 2008) and CBERS-4A satellite (for 2021), made available by SEDAM and INPE Agencies, respectively. Image processing was performed using the GIS QGis 3.20.2 (Odense) and allowed the creation of image maps of fish farming in the study area. In addition, the vectorization of fish farms was carried out, where the water surface area was analyzed for the composition of heat maps that allowed a geographic analysis of the behavior of patterns. The results obtained shown that in the municipality there are small, medium and large fish farms, the evolution of fish farms in the municipality was in the order of 200% for the number of enterprises and 874% for the amount of water surface.
51;"Gustavo Pereyra Irujo; Paz Bernaldo; Luciano Velázquez; Antoni Pérez; Celeste Molina Favero; Alejandrina Egozcue";2023;Open Science Drone Toolkit: Open source hardware and software for aerial data capture.;N/D;PloS one;3;10.1371/journal.pone.0284184;Despite the increased access to scientific publications and data as a result of open science initiatives, access to scientific tools remains limited. Uncrewed aerial vehicles (UAVs, or drones) can be a powerful tool for research in disciplines such as agriculture and environmental sciences, but their use in research is currently dominated by proprietary, closed source tools. The objective of this work was to collect, curate, organize and test a set of open source tools for aerial data capture for research purposes. The Open Science Drone Toolkit was built through a collaborative and iterative process by more than 100 people in five countries, and comprises an open-hardware autonomous drone and off-the-shelf hardware, open-source software, and guides and protocols that enable the user to perform all the necessary tasks to obtain aerial data. Data obtained with this toolkit over a wheat field was compared to data from satellite imagery and a commercial hand-held sensor, finding a high correlation for both instruments. Our results demonstrate the possibility of capturing research-grade aerial data using affordable, accessible, and customizable open source software and hardware, and using open workflows.
52;"Marc Escribà-Gelonch; Shu Liang; Pieter van Schalkwyk; Ian Fisk; Nguyen Van Duc Long; Volker Hessel";2024;Digital Twins in Agriculture: Orchestration and Applications.;"Digital Twins; Industry 4.0; Internet of Things; agriculture 4.0; precise agriculture; precise agriculture""";Journal of agricultural and food chemistry;0;38709011;Digital Twins have emerged as an outstanding opportunity for precision farming, digitally replicating in real-time the functionalities of objects and plants. A virtual replica of the crop, including key agronomic development aspects such as irrigation, optimal fertilization strategies, and pest management, can support decision-making and a step change in farm management, increasing overall sustainability and direct water, fertilizer, and pesticide savings. In this review, Digital Twin technology is critically reviewed and framed in the context of recent advances in precision agriculture and Agriculture 4.0. The review is organized for each step of agricultural lifecycle, edaphic, phytotechnologic, postharvest, and farm infrastructure, with supporting case studies demonstrating direct benefits for agriculture production and supply chain considering both benefits and limitations of such an approach. Challenges and limitations are disclosed regarding the complexity of managing such an amount of data and a multitude of (often) simultaneous operations and supports.
53;"Mauro De Donatis; Mauro Alberti; Carlo Cesarini; Marco Menichetti; Sara Susini";2016;Open source GIS for geological field mapping: research and teaching experience.;N/D;PeerJ;1;N/D;The journey to digital field mapping in the geosciences academic world is far from ending. When it started some years ago, many geoscientists were skeptical about the use of digital tools in the field. Nowadays, the work done in this decade shows clearly that this will be the way of working in the future. The traditional way of mapping can be incorporated and improved in the digital survey. Many of the previously existing limitations have been overcome. Part of this process is possible thanks to the choice of open source tools.
54;"Atieno Ochieng Anne; Bwire Wasike Chrilukovian; Celina Wambui Caroline; Lwangu Chamwada Herbert; Vera Atieno Jennifer";2025;Estimation of forage biomass in mobile livestock systems using GIS and remote sensing;N/D;African Journal of Agricultural Research;0;10.5897/ajar2025.16888;The availability of quality forages is critical in ruminant systems, but it is influenced by forage type, management, and climatic conditions. This study estimated forage biomass in Usonga and Bunyala North Wards (Siaya and Busia counties) from September to December 2021 and February to April 2022 using Geographical Information Systems (GIS) and remote sensing (RS). GIS mapping determined the vegetative index and forage biomass, which were then used to calculate carrying capacity (CC) and stocking rate. The vegetative index ranged from -0.01 to 0.84, with higher values (-0.34 to 0.84) observed in Usonga. Monthly forage biomass varied from 0.266 (November 2021) to 0.398 t/ha (April 2022), with no significant differences between wards or months. The CC (0.11-0.16 TLU/ha/month) was slightly below the optimal range (0.15-0.20 TLU/ha/month), while the stocking rate was 3.21 TLU/ha/year. This study highlights the potential of GIS and RS for biomass estimation and sustainable forage management. Although biomass, CC, and stocking rate showed no regional or seasonal differences, regular biomass assessment can enhance decision-making on stocking rates and CC, promoting sustainable grazing management. Key words: Satellite imagery, ruminant grazing systems, pastoral systems, QGIS.
55;"Timothée Produit; Jens Ingensand; Gillian Milani";2016;QGIS plugin or web app? Lessons learned in the development of a 3D georeferencer.;N/D;PeerJ;0;N/D;N/D
56;"Marta; Elena Alonso;  Hanlon; Sheila Vincenti; Sabino Armenise; Universidad Rey; Juan Carlos; Juan Crdenas; Tapia Presidente; lvarez Csar; null Mendoza; Javier Herrn Gmez; Abya-Yala Ecuador; Jos Blasco; Tony Viloria; Juan Salgado; Vicerrector De Investigacin; Ernesto Delgado; Angel Torres-Toukoumidis; Jaime Padilla Verdugo; Msc Sheila; Serrano Vincenti; Editora De; L Granja; Msc Jorge; Cueva Estrada; Lorenzo Guerrini; John Calle;  Floralba; Aguilar Gordn;  Betty; Rodas Soto; Editora De Utopa; Mnica Ruiz Vsquez; Del Noti-Ups;  Rocio; Elizabeth Callay; Jorge Altamirano; Snchez Editora; Revista Ctedra; Msc David; Armendriz Gonzlez; Luis Rodas;  Mara; Custodio Villanueva; Jos Montaa; Juan Pablo; Garzn Prado; Adn Guillermo; Ramrez Garca; Jos Vera Rodrguez; Hebandreyna Gonzlez; Miguel Garca; George Prez; Juan Reategui Ordoez; Gustavo Gimenez; Sebastin Gonzalo; Ynez Segovia; Belisario Mancera;  Cordero; Julio Ortega; Antonio Pereira; Menezes Filho; Carlos Pez Prez; Len Escobar;  Rodrguez; Universidad Laica; Eloy Alfaro;  Sacido; Jos Navarrete; Sebastin Ramrez; Jorge Alejandro; Garca Zumalacarregui; Cristian Javier; Patio Vidal; Hctor Vsquez Prez; Leonel Alvarado Huamn; Paco Noriega; Jos Zambrano; Lia Duarte; Catarina Queirs; Ana Cludia; Y Monitoreo De Bosques De Manglar; Con Teledeteccin; E El; Bajo Baud; Choc Mauricio; Alejandro Perea-Ardila; Julian Leal-Villamil; Fernando Oviedo-Barrero; M Leal-Villamil; J Y Oviedo-Barrero; ) Caracterizacin; Mauricio Perea-Ardila; Fernando Oviedo; T Bhatia; William Cartwright; P Chen; C Thanh; null Nguyen; L Duarte; J Espinha; A Teodoro; L Duarte; P Silva; A Teodoro; L Duarte; L Duarte; G Garnero; I Vigna; A Gharbi; S Haddadi; M Hossain; H Meyer; R Leaflet For; C Parker; A May; V Mitchell; E Sukic; D Rani; A Teodoro; L Duarte; B Veenendaal; M Brovelli; S Li; Z Ahmad; G Asner; M Perea-Ardila; J Leal-Villamil; F Oviedo-Barrero; D vila; A Baloloy; A Bannari; J Blanco; C Escobar-Sierra Y; J Carvajal-Quintero; G Chander; B Markham; N Chen; J Chow; R Congalton; L Conti; C Sampaio; M Cunha; C Diniz; A Galeano; B Gao; S Ghosh; C Giri; K Gupta; N Horning; A Huete; M Jia; C Kuenzer; E Mohamed; P Mondal; S Trzaska; A De Sherbinin; I Monirul; B Helena; K Lalit; F Muhsoni; H Omar; M Misman; V Linggok; E Pagkalinawan; M Perea-Ardila; F Oviedo-Barrero Y; J Leal-Villamil; F Prez; J De La Riva; T Pham; U Pimple; A Purwanto; W Asriningrum; F Rebelo-Mochel; F Ponzoni; P Rhyma; J Rouse; J Haas; R Shell; D Deering; M Perea-Ardila; J Leal-Villamil; F Oviedo-Barrero; B Vaghela; L Wang; G Winarso; A Purwanto; Q Xia; Q Xia; X Zhang; Q Tian; X Zhang; Z Zhu; C Woodcock; G Alfaro; T Berger; K Brauman; D Freyberg Y; G Daily; D Buckley; J Isebrands; T Sharik; D Carlyle; A Price; G Carrillo; A Cierjacks; J Cook; M Crdova; G Carrillo; R Clleri; M Crdova; R Crockford; D Richardson; A Domic; G Camilo; J Capriles; K Fleischbein; E Gareca; S Germer; H Elsenbeer; J Moraes; A Gerrits; L Pfister; H Savenije; D Gomez; W Gosling; C Harden; M Hernndez; D Granados Y; A Snchez; S Herzog; G Hoch; C Krner; F Holwerda; F Scatena; L Bruijnzeel; O Jadn; S Jennings; N Brown; D Sheil; M Johnson; J Lehmann; R Keim; A Skaugset; M Weiler; M Kessler; P Lemmon; D Levia; E Frost; D Levia; S Herwitz; D Levia; A Suqui; R Clleri; P Crespo; G Carrillo-Rojas; M Lieberman; D Lieberman Y; R Peralta; P Llorens; F Gallart; H Loescher; J Powers; S Oberbauer; C Macinnis; H Moliov; P Hubert; A Molina; J Montalvo; L Morales; G Moser; D Hertel Y; C Leuschner; S Murakami; N Nadkarni; M Sumera; T Nisbet; J Norman; G Campbell; A Ochoa; P Crespo; R Clleri; A Ochoa; C Oyarzn; R Padrn; A Park; J Cameron; J Pinos; T Pukkala; S Abraham; B Noriega; J Shin; J Anderson; E Beasley; M Bonaccio; D Boucher; C Gagn; F Ct; J Boyle; N Larose; P Brya; C Byrd; A Cadarso; M Das; E Evans; S Dernini; L Donini; T Dur; A Castroviejo; C Dussaillant; V Flaudias; W Freire; M Garca; R Gmez; S Gropper; J Guidi; E Hekler; C Gardner; T Robinson; J Hilger; K Diehl; J Kearney; Y Mrquez; J Enriquez; A Hernndez-Santana; M Martnez; M Mguez; T Miller; L Chandler; M Mouttapa; I Navarro; G Paslakis; G Dimitropoulos; G Katzman; S Racette; J Reed; M Snchez; G Sogari; G Sproesser; T Vanheuvelen; J Vanheuvelen; D Afful; F Aguilar; S Almeraya; S Arzaluz; A Cazorla; I De Los Ros Y; M Salvo; A Cazorla; I De Los Ros Y; J Daz; M Damin; A Espinosa; M Sierra; N Gmez; J Friedmann; B Grel; S Hernndez; C Fernndez; L Baptista; B Lutz; F Herrera; R Manrrubio; H Santoyo; M Maziya; M Mudhara; J Chitja; D Noriega; J Regalado; E Nio; G Lpez; J Regalado-Lpez; N Prez-Ramrez; J Ramrez-Jurez; J Mndez-Espinoza; J Regalado; L Regalado; A Turrent; A Turrent; J Velzquez; A Keywords ; Santilln; O Santiago; E Espinosa; Z Huicab; F Larqu; J Bautista; J Alba; J Bailey; K Bmov; B Mandk; Katy Brner; M Bouchet; G Bastin; J De Granda; S Del Amo; P Domnguez; C Garca; A Roque; M Mndez; A Gillespie; D Bocanegra Y; J Jimenez; R Gngora; A Gonzlez; G Gutirrez; R Dirzo; O Hernndez; S Vergara; A Larqu; M Jacomy; J Laborde; I Corrales; L Lora; A Larqu; T Luna; T Landis; R Dumroese; S Magnitskiy; G Plaza; M Molina; C Orantes; D Pardo; F Verdugo; J Hernndez; A Santilln; O Santiago; E Espinosa; Z Huicab; F Larqu; null Bautista; M Peralta; Prez De La Cruz; S Col; C Peters; E Pardo; S Ramrez; J Rojas; A Rueda; S Sampayo; J Vallejos; D White; C Hood; E Abt; P Lauren; Y Alvarado; R Ferrer; N Florida; J Antoine; E Antolinez; E Arvalo; Florida Rofner; N Ru; H Arvalo; D Argello; F Barraza; F Barraza; I Bravo; C Arboleda; F Martin; J Casteblanco; R Celis; N Florida; A Rengifo; E Chvez; L Cunha; N Engbersen; N Florida; R Florida; M Claudio; B Gmez; P Furcal; J Torres; A Gramlich; A Gramlich; N Gunnar; S He; C Hernndez; C Jimnez; B Kruszewski; O Wiesaw; J Kowalska; J Lanza; Y Lpez; M Cunias; Y Carrasco; A Meter; R Atkinson; B Laliberte; F Mite; M Carrillo; W Durango; J Morales; A Garca; E Mndez; A Oliveira; S Pastor; S Pastor; M Gutierrez; G Prez; C Azcona; J Prieto; M Raju; Y Reyes; D Romero; null Snchez; N Snchez; C Rivero; Y Martnez; null Pav; P Referencias Alayn; G Alleweldt; F Radler; B Alva-Guzmn; L Cerna-Rebaza Y; J Chico-Ruz; A Argelles; B Caballero; C Mrquez; B Rojano; A Espinosa; A Feher; T Pasternak; D Dudits; A Gutierrez-Rosati; B Vega; A Hernndez; H Daz; A Hernndez; A Pineda; H Daz; A Hernndez; A Pineda; H Noriega; A Hernndez; H Izquierdo; L Alcaraz; M Rodrguez-lvarez; C Larson; M Gmez; C Snchez; D Ros; J Meiners; M Schwab; I Szankowski; B Mller; J Sheen; T Murashige; F Skoog; M Orlinska; P Nowaczyk; M Prez; R Rashmi; M Trivedi; A Robledo; G Carrillo; M Rodrguez; K Sanatombi; G Sharma; N Santana; V Shriram; V Kumar; M Shitole; L Sols-Ramos; E Terra; G Referencias Agegnehu; A Argaw; R Arias; T Mader; P Escobar; C Asadu; S Barbero; D Toso; null Cap; H Botello; I Guerrero; F Capra; E Cruz; null Dane; L Daz; J Ortiz; D Rodrguez; C Fernndez; Buen Vivir; R Jagustovi; O Johansen;  Kalmanovitz; E Lpez; D Meadows; J Pinos; M Rayen; D Rojas; J Botero; O Osorio; M Rovaletti; R Ruiz; L Oregui; A Sharma; B Sosa; Y Garca; Adilson Stamberg; null Paz; A Vargas; X Wang; M Arnold; F Osorio; B Dhillon";2021;N/D;N/D;La Granja;0;10.17163/lgr.n34;software gratuito y de cdigo abierto que permite visualizar, editar y analizar datos georreferenciados. Es un software de Sistema de Informacin Geogrfica (SIG) compuesto por herramientas que permiten manipular la informacin geogrfica y crear mapas que ayuden a obtener una mejor comprensin y organizacin de los datos geoespaciales. Desafortunadamente, los mapas que se crean directamente en el software de escritorio GIS no se pueden transferir automticamente a un sitio web. Por lo tanto, esta investigacin tuvo como objetivo comparar las capacidades de publicacin en complementos de QGIS, y crear mapas web. El estudio analiza cuatro plugins de QGIS (QGIS2Web, QGIS Cloud, GIS Cloud Publisher y Mappia Publisher), realizando una comparativa entre ellos, considerando sus ventajas y desventajas, los planes gratuitos y de suscripcin, las herramientas que ofrece cada plugin y otros aspectos genricos. Los cuatro complementos se probaron en un caso de estudio especfico para obtener automticamente los diferentes mapas web. Este estudio podra ayudar a los usuarios a elegir las herramientas
57;"Ahmed Alneami; Abdullah Almuthibi; Merai Alqahtani; Ahmed A Alameen; Shahd Alahmadi; Faisal Alharbi; Safiah Almutairi; Mohamed Alshafaey";2026;Monitoring land degradation by soil salinity using Sentinel-2 satellite data and GIS techniques: A case study of Sabkhat Ghuwaymid, Saudi Arabia.;N/D;PloS one;0;10.1371/journal.pone.0348799;Soil salinity drives land degradation and vegetation loss, posing a significant challenge for agriculture and global efforts to combat desertification. Enhancing land degradation monitoring methodologies is essential and aligns with the mission of the United Nations Convention to Combat Desertification (UNCCD), which aims to promote sustainable land management. In this context, this study aimed to develop soil salinity prediction models (SSPMs) for monitoring land degradation caused by soil salinity using Sentinel-2 (S2) satellite data and geographic information system (GIS) techniques. An area of 17.5 km2 (1750 ha) of Sabkhat Ghuwaymid, located in the Al-Qassim region of Saudi Arabia, was delineated as the study area for developing SSPMs. A total of 118 soil samples were collected using a grid sampling method between February 19 and 22, 2024. The collected samples were analysed for texture, acidity (pH: 6.97-8.61), total dissolved solids (TDS: 4.25-62.60 g L-1), and electrical conductivity (EC: 8.49-125.23 dS m-1) as an indicator of soil salinity. Soil analyses were performed using a hydrometer technique and Ohaus pH and EC meters. A promising model for predicting and mapping soil salinity was developed using S2 satellite imagery in combination with stepwise multiple linear regression (SMLR) analysis. The developed model demonstrated a correlation coefficient (R2) of 0.61 during development and 0.66 during validation, with a P-value < 0.05, and an RMSE of 12%. These results indicate that S2-based SSPMs provide a reliable and cost-effective approach for monitoring soil salinity, thereby supporting sustainable land management in arid environments.
